Place,Coordinates,Time,PIN Code,Region
"1870, Service Rd, Brindavan Nagar, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0373346 - 77.626837),2024-06-03 14:48:10,560043,Indiranagar
"54, Outer Ring Rd, opp. lumbini garden, Veerannapalya, Hebbal, Bengaluru, Karnataka 560045, India",(13.0427145 - 77.6108619),2024-06-03 14:50:52,560045,Indiranagar
"1, NH 44, Kariyana Layout, Guddadahalli, Hebbal, Bengaluru, Karnataka 560032, India",(13.0426915 - 77.5980124),2024-06-03 14:53:35,560032,Rajajinagar
"AH43, Hebbal Kempapura, Bengaluru, Karnataka 560024, India",(13.0432624 - 77.59036),2024-06-03 14:56:17,560024,Bannerghatta Road
"GM Arcade, 102/3, Bellary Road, Hebbal, Next Aster CMI Hospital, inside Fab India Stores, Sanjeevini Nagar, Bengaluru, Karnataka 560092, India",(13.0552091 - 77.5933908),2024-06-03 14:58:59,560092,Bannerghatta Road
"3HJV+F3H, Yashoda Nagar, Yelahanka, Bengaluru, Karnataka 560064, India",(13.0809138 - 77.5931284),2024-06-03 15:01:41,560064,Hebbal
"S.NO.215/3,KATTIGENAHALLI, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bengaluru, Karnataka 560064, India",(13.1130575 - 77.6058489),2024-06-03 15:05:17,560064,Hebbal
"4JR8+WRR Hunsemarnahalli Lake Entrance Gate, Hunasamaranahalli, Bengaluru, Karnataka 562157, India",(13.1416896 - 77.6174192),2024-06-03 15:07:59,562157,Airport Area
"Kadugenahalli Gate, Chikkajala, Karnataka 562157, India",(13.167969 - 77.6312134),2024-06-03 15:10:41,562157,Airport Area
"5JRW+77V, Bengaluru, Karnataka 562149, India",(13.1905817 - 77.6458583),2024-06-03 15:14:17,562149,Airport Area
"Tadipatri - Bangalore Rd, Karnataka 562157, India",(13.1956336 - 77.6527821),2024-06-03 15:16:59,562157,Airport Area
"5PX2+MG4, Hunachur, Karnataka 562300, India",(13.1983552 - 77.7020445),2024-06-03 15:21:29,562300,Koramangala
"5PX8+G32, Devanahalli, Southegowdanahalli, Gangamuthanahalli, Karnataka 562110, India",(13.1988083 - 77.7152133),2024-06-03 15:25:05,562110,Yeshwanthpur
"5PX8+G32, Devanahalli, Southegowdanahalli, Gangamuthanahalli, Karnataka 562110, India",(13.1989668 - 77.7151815),2024-06-03 15:28:24,562110,Yeshwanthpur
"3, Airport City South, Basaveshwar Nagar, Bengaluru, Hunachur, Karnataka 560079, India",(13.1939825 - 77.6967361),2024-06-03 15:33:44,560079,Bannerghatta Road
"3, Airport City South, Basaveshwar Nagar, Bengaluru, Hunachur, Karnataka 560079, India",(13.1939825 - 77.6967361),2024-06-03 15:37:54,560079,Bannerghatta Road
"5MVW+F93, Airport City South, Hunachur, Karnataka 560300, India",(13.1937321 - 77.6960063),2024-06-03 15:39:31,560300,Airport Area
"29, Channanayakana Palya, Mysore Lamp Employees Cooperative Society Layout, Chikkabidarakallu, Bengaluru, Karnataka 560073, India",(13.0422426 - 77.4872111),2024-06-03 07:32:35,560073,Hebbal
"Sri Anjaneshwara Nilayam, 2, Doddabidarakallu, Bengaluru, Karnataka 560073, India",(13.0368577 - 77.4832824),2024-06-03 07:35:58,560073,Hebbal
"2FPM+RMG, Tippenahalli Main Rd, Shakti Farm, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0370483 - 77.48437),2024-06-03 07:39:17,560073,Hebbal
"2FPM+RMG, Tippenahalli Main Rd, Shakti Farm, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0370033 - 77.4842267),2024-06-03 07:42:44,560073,Hebbal
"Sri Vajramuneshwara Nilayam, 279, Doddabidarakallu, Bengaluru, Karnataka 560073, India",(13.0365569 - 77.4843579),2024-06-03 07:45:44,560073,Hebbal
"2FPM+PH8, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0365394 - 77.4839994),2024-06-03 07:49:27,560073,Hebbal
"2FPM+PH8, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0365394 - 77.4839994),2024-06-03 07:52:44,560073,Hebbal
"Sri Vajramuneshwara Nilayam, 279, Doddabidarakallu, Bengaluru, Karnataka 560073, India",(13.036805 - 77.4846617),2024-06-03 07:56:50,560073,Hebbal
"2FPM+PH8, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0365394 - 77.4839994),2024-06-03 08:00:12,560073,Hebbal
"2FPM+RMG, Tippenahalli Main Rd, Shakti Farm, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.03699 - 77.4843533),2024-06-03 08:04:23,560073,Hebbal
"2FPM+RMG, Tippenahalli Main Rd, Shakti Farm, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.036895 - 77.484235),2024-06-03 08:07:55,560073,Hebbal
"2FPM+FHM, Main Rd, Layout, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.036455 - 77.4842183),2024-06-03 08:11:22,560073,Hebbal
"2FPM+PH8, Doddabidarakull, Bengaluru, Karnataka 560073, India",(13.0365394 - 77.4839994),2024-06-03 08:16:04,560073,Hebbal
"2FPQ+PQ9, 1st Main Rd, SLN Layout, Doddabidarakallu, Bengaluru, Karnataka 560073, India",(13.0368883 - 77.48955),2024-06-03 08:19:24,560073,Hebbal
"1243, Nagasandra Main Rd, Nagasandra, Bengaluru, Karnataka 560073, India",(13.0404402 - 77.4973821),2024-06-03 08:22:32,560073,Hebbal
"917, 5th Block HMT Layout, Nagasandra, Bengaluru, Karnataka 560073, India",(13.0381583 - 77.5003017),2024-06-03 08:25:41,560073,Hebbal
"67, 1st St Cross, 1st block, HMT Layout, Nagasandra, Bengaluru, Karnataka 560073, India",(13.0388017 - 77.5036717),2024-06-03 08:28:48,560073,Hebbal
"49, Panchami Amaravathi Layout, Nalagadderanahalli, Peenya 1st Cross, Vishnuvardhan road, post, Amaravathi Layout, Nagara Bavi, Nalagadderanahalli, Nagasandra, Bengaluru, Karnataka 560073, India",(13.0364182 - 77.5062963),2024-06-03 08:31:55,560073,Hebbal
"F18, Phase -1, Peenya, Bengaluru, Karnataka 560058, India",(13.0348317 - 77.517115),2024-06-03 08:35:01,560058,MG Road
"3/1, Shri Muneshwara Estate, Police station Road, Peenya, Bengaluru-560058, First Floor, above Hotel Karavali, Peenya II Phase, Peenya, Bengaluru, Karnataka 560058, India",(13.0377445 - 77.521835),2024-06-03 08:38:09,560058,MG Road
"Metro Station Peenya, Metro Station Peenya, Bengaluru, Karnataka 560022, India",(13.0324617 - 77.5338833),2024-06-03 08:41:41,560022,Rajajinagar
"105b, Tumkur Rd, Yeshwanthpur Industrial Area, Phase 1, Peenya, Bengaluru, Karnataka 560001, India",(13.031125 - 77.53613),2024-06-03 08:44:50,560001,MG Road
"2, Tumkur Rd, Next to, Goraguntepalya, Yeswanthpur, Bengaluru, Karnataka 560022, India",(13.0288867 - 77.5392983),2024-06-03 08:47:58,560022,Rajajinagar
"BLOCK-A, APARNA ELINA, Nelamangala - Majestic Service Rd, Marappanapalya, Mahalakshmi Layout, Bengaluru, Karnataka 560022, India",(13.020635 - 77.5519098),2024-06-03 08:51:04,560022,Rajajinagar
"Yeshwanthpura Police Station, Malleshwaram, Bengaluru, Karnataka 560012, India",(13.0172919 - 77.5596729),2024-06-03 08:54:15,560012,Yeshwanthpur
"Devasandra, Krishnarajapura, 2H88+39G, Mathikere, Bengaluru, Karnataka 560012, India",(13.01477 - 77.5660067),2024-06-03 08:56:59,560012,Yeshwanthpur
